COMPOSER composition title,composer(abbrev),composition
"HERBERT Cello Concerto No. 2 in E minor, Op. 30 (9.81111)",HERBERT,"Cello Concerto No. 2 in E minor, Op. 30"
STRAVINSKY The Firebird: Berceuse (8.554060),STRAVINSKY,The Firebird: Berceuse
"VIVALDI Chamber Concerto in D major, RV 93 (Dorian Sono Luminus DSL-92132)",VIVALDI,"Chamber Concerto in D major, RV 93"
ADAMS Christian Zeal and Activity (Nonesuch 075597914467),ADAMS,Christian Zeal and Activity
CAGE Music for Marcel Duchamp (8.554562),CAGE,Music for Marcel Duchamp
CAGE Root of an Unfocus (8.554562),CAGE,Root of an Unfocus
FELDMAN Rothko Chapel: II. - (New Albion NA039CD),FELDMAN,Rothko Chapel: II. -
LIGETI 2 Etudes: No. 1. Harmonies (Wergo WER6757-2),LIGETI,2 Etudes: No. 1. Harmonies
LIGETI Lontano (Ondine ODE1213-2),LIGETI,Lontano
MAHLER Piano Quartet in A Minor (8.572799),MAHLER,Piano Quartet in A Minor
PENDERECKI Fluorescences (8.554491),PENDERECKI,Fluorescences
PENDERECKI Symphony No. 3: Passacaglia - Allegro moderato (8.554491),PENDERECKI,Symphony No. 3: Passacaglia - Allegro moderato
SCHNITTKE 4 Hymns: II. for cello and double bass (BIS BIS-CD-507),SCHNITTKE,4 Hymns: II. for cello and double bass
"JS BACH Goldberg Variations, BWV 988: VIII. Variation 7 (8.550078)",JS BACH,"Goldberg Variations, BWV 988: VIII. Variation 7"
"HAYDN String Quartet No. 1 in B-flat major, Op. 1, No. 1, Hob.III:1: III. Adagio (8.550398)",HAYDN,"String Quartet No. 1 in B-flat major, Op. 1, No. 1, Hob.III:1: III. Adagio"
"VAUGHAN WILLIAMS The Wasps, Aristophanic Suite: III. March Past of the Kitchen Utensils (8.572304)",VAUGHAN WILLIAMS,"The Wasps, Aristophanic Suite: III. March Past of the Kitchen Utensils"
"SCHUBERT Piano Quintet in A major, Op. 114, D. 667, ""Die Forelle"" (The Trout): II. Andante (8.550658)",SCHUBERT,"Piano Quintet in A major, Op. 114, D. 667, ""Die Forelle"""
"FAURE Requiem, Op. 48 (8.550765)",FAURE,"Requiem, Op. 48"
"JS BACH Brandenburg Concerto No. 4 in G major, BWV 1049: III. Presto (8.554608)",JS BACH,"Brandenburg Concerto No. 4 in G major, BWV 1049: III. Presto"
"BERLIOZ Symphonie fantastique, Op. 14: V. Songe d'un nuit de Sabbat: Larghetto - Allegro (8.550093)",BERLIOZ,"Symphonie fantastique, Op. 14: V. Songe d'un nuit de Sabbat: Larghetto - Allegro"
"GRIEG 2 Nordic Melodies, Op. 63 (8.557890)",GRIEG,"2 Nordic Melodies, Op. 63"
"SUK 6 Piano Pieces, Op. 7: No. 4. Idyll in F minor (Dorian Sono Luminus DOR-90121)",SUK,"6 Piano Pieces, Op. 7: No. 4. Idyll in F minor"
"SHOSTAKOVICH Fugue No. 1 in C major, Op. 87: Moderato (8.554745-46)",SHOSTAKOVICH,"Fugue No. 1 in C major, Op. 87: Moderato"
"SHOSTAKOVICH Prelude No. 1 in C major, Op. 87: Moderato (8.554745-46)",SHOSTAKOVICH,"Prelude No. 1 in C major, Op. 87: Moderato"
"CHOPIN Waltz No. 14 in E minor, Op. posth. (8.554539)",CHOPIN,"Waltz No. 14 in E minor, Op. posth."
"SMETANA String Quartet No. 1 in E minor, ""From my Life"" (8.550379)",SMETANA,"String Quartet No. 1 in E minor, ""From my Life"""
"JS BACH Goldberg Variations, BWV 988: Variation 15 (8.550078)",JS BACH,"Goldberg Variations, BWV 988: Variation 15"
"MENDELSSOHN Songs without Words: No. 7 in E-flat major, Op. 30/1 (8.554055)",MENDELSSOHN,"Songs without Words: No. 7 in E-flat major, Op. 30/1"
"JS BACH Toccata, Adagio and Fugue in C major, BWV 564: II. Adagio (8.553859)",JS BACH,"Toccata, Adagio and Fugue in C major, BWV 564: II. Adagio"
"BEETHOVEN String Quartet No. 2 in G major, Op. 18, No. 2 (8.550558)",BEETHOVEN,"String Quartet No. 2 in G major, Op. 18, No. 2"
"BEETHOVEN String Quartet No. 7 in F major, Op. 59, No. 1, ""Rasumovsky"" (8.554181)",BEETHOVEN,"String Quartet No. 7 in F major, Op. 59, No. 1, ""Rasumovsky"""
BRAHMS Hungarian Dance No. 7 (8.550110),BRAHMS,Hungarian Dance No. 7
"MOZART String Quintet No. 4 in G minor, K. 516 (8.553104)",MOZART,"String Quintet No. 4 in G minor, K. 516"
SULLIVAN Poet and Peasant (Dichter und Bauer): Overture (8.553935),SULLIVAN,Poet and Peasant
"MOZART Horn Concerto No. 1 in D major, K. 412: I. Allegro (8.553592)",MOZART,"Horn Concerto No. 1 in D major, K. 412: I. Allegro"
"PURCELL Remember not, Lord, our offences, Z. 50 (8.553129)",PURCELL,"Remember not, Lord, our offences, Z. 50"
"HANDEL Concerto Grosso in G major, Op. 6, No. 1, HWV 319 (8.557358-60)",HANDEL,"Concerto Grosso in G major, Op. 6, No. 1, HWV 319"
"HANDEL Concerto Grosso in F Major, Op. 6, No. 2, HWV 320 (8.557358-60)",HANDEL,"Concerto Grosso in F Major, Op. 6, No. 2, HWV 320"
BERLIOZ Les Troyens: Vallon sonore (LSO Live LSO0010),BERLIOZ,Les Troyens: Vallon sonore
"HAYDN String Quartet No. 53 in D major, Op. 64, No. 5, Hob.III:63, ""The Lark"": III. Menuetto (8.550674)",HAYDN,"String Quartet No. 53 in D major, Op. 64, No. 5, Hob.III:63, ""The Lark"": III. Menuetto"
"MOZART String Quartet No. 17 in B-flat major, K. 458, ""Hunt"": I. Allegro vivace assai (8.550542)",MOZART,"String Quartet No. 17 in B-flat major, K. 458, ""Hunt"": I. Allegro vivace assai"
MOMPOU Cancion y Danza No. 5 (Cedille CDR90000-007),MOMPOU,Cancion y Danza No. 5
MOMPOU Canco i dansa No. 6 (Nimbus NI5619-23),MOMPOU,Canco i dansa No. 6
ROSSINI Il Signor Bruschino: Overture (8.550236),ROSSINI,Il Signor Bruschino: Overture
MESSIAEN O sacrum convivium! (Oehms Classics OC540),MESSIAEN,O sacrum convivium!
"HOPKINS, JR. We three kings of Orient are (arr. A. Pitts) (8.557330)","HOPKINS, JR.",We three kings of Orient are
PEARSALL In dulci jubilo (8.550589),PEARSALL,In dulci jubilo
TRADITIONAL God Rest Ye Merry Gentlemen (arr. David Willcocks) (8.554723),TRADITIONAL,God Rest Ye Merry Gentlemen
"JS BACH Invention No. 1 in C major, BWV 772 (8.550679)",JS BACH,"Invention No. 1 in C major, BWV 772"
JOPLIN Gladiolus Rag (8.559277),JOPLIN,Gladiolus Rag
JOPLIN Pine Apple Rag (8.559114),JOPLIN,Pine Apple Rag
"JOPLIN Rag-Time Dance, A Stop-Time Two Step (8.559277)",JOPLIN,"Rag-Time Dance, A Stop-Time Two Step"
JOPLIN Solace: A Mexican Serenade (8.559114),JOPLIN,Solace: A Mexican Serenade
JOPLIN The Easy Winners (8.559114),JOPLIN,The Easy Winners
JOPLIN The Entertainer: A Ragtime Two-Step (8.559114),JOPLIN,The Entertainer: A Ragtime Two-Step
"JS BACH Overture (Suite) No. 1 in C major, BWV 1066: VI. Bourree I and II (8.554609)",JS BACH,Overture
L MOZART Trumpet Concerto in D major (8.550243),L MOZART,Trumpet Concerto in D major
ROSSINI Il Barbiere di Siviglia (The Barber of Seville): Contro un cor che accende amore (8.660027-29),ROSSINI,Il Barbiere di Siviglia
VERDI Don Carlos: Io la vidi e al suo sorriso (8.660096-98),VERDI,Don Carlos: Io la vidi e al suo sorriso
"JS BACH Violin Partita No. 1 in B minor, BWV 1002: I. Allemanda (8.570277-78)",JS BACH,"Violin Partita No. 1 in B minor, BWV 1002: I. Allemanda"
"JS BACH Concerto in the Italian Style, BWV 971, ""Italian Concerto"": I. Allegro (8.550709)",JS BACH,"Concerto in the Italian Style, BWV 971, ""Italian Concerto"": I. Allegro"
"JS BACH St. Matthew Passion, BWV 244: Mache dich, mein Herze rein (8.550832-34)",JS BACH,"St. Matthew Passion, BWV 244: Mache dich, mein Herze rein"
"BEETHOVEN Piano Quintet in E-flat major, Op. 16: III. Andante cantabile (8.550511)",BEETHOVEN,"Piano Quintet in E-flat major, Op. 16: III. Andante cantabile"
"VIVALDI Stabat Mater, RV 621 (8.557852)",VIVALDI,"Stabat Mater, RV 621"
ALBENIZ Asturias (8.553999),ALBENIZ,Asturias
"BEETHOVEN Collin's Coriolan, Op. 62, ""Coriolan Overture"": Overture (8.550072)",BEETHOVEN,"Collin's Coriolan, Op. 62, ""Coriolan Overture"": Overture"
VERDI Nabucco: Chorus of the Hebrew Slaves (8.553968),VERDI,Nabucco: Chorus of the Hebrew Slaves
"RIMSKY-KORSAKOV Scheherazade, Op. 35: IV. Festival at Baghdad (8.572693)",RIMSKY-KORSAKOV,"Scheherazade, Op. 35: IV. Festival at Baghdad"
"DVORAK 8 Humoresques, Op. 101, B. 187: No. 7. Poco lento e grazioso in G-flat major (arr. F. Kreisler) (8.550306)",DVORAK,"8 Humoresques, Op. 101, B. 187: No. 7. Poco lento e grazioso in G-flat major"
"MOZART La clemenza di Tito, K. 621, Act I: Aria: Parto, parto, ma tu ben mio (8.225825)",MOZART,"La clemenza di Tito, K. 621, Act I: Aria: Parto, parto, ma tu ben mio"
"MOZART Symphony No. 36 in C Major, K. 425, ""Linz"" (8.550264)",MOZART,"Symphony No. 36 in C Major, K. 425, ""Linz"""
"R SCHUMANN Kinderszenen (Scenes of childhood), Op. 15: VI. Wichtige Begebenheit (An Important Event) (8.550784)",R SCHUMANN,Kinderszenen
WAGNER Siegfried: Brunnhildes Erwachen (Brunnhilde's Awakening (8.660175-78),WAGNER,Siegfried: Brunnhildes Erwachen
BIZET Carmen Suite No. 2: VI. Danse Boheme (8.550061),BIZET,Carmen Suite No. 2: VI. Danse Boheme
ROSSINI Petite Messe Solennelle: Agnus Dei (Haenssler CD93.053),ROSSINI,Petite Messe Solennelle: Agnus Dei
"SCHUBERT Moments Musicaux, Op. 94, D. 780: No. 2 in A-flat major (8.553250)",SCHUBERT,"Moments Musicaux, Op. 94, D. 780: No. 2 in A-flat major"
PART Annum per annum (8.558182-83),PART,Annum per annum
SULLIVAN The Pirates of Penzance: When foreman bares his steel (8.110196-97),SULLIVAN,The Pirates of Penzance: When foreman bares his steel
"BRUCKNER Virga Jesse floruit, WAB 52 (8.550956)",BRUCKNER,"Virga Jesse floruit, WAB 52"
"BEETHOVEN Symphony No. 3 in E-flat major, Op. 55, ""Eroica"": II. Marcia funebre (8.553475)",BEETHOVEN,"Symphony No. 3 in E-flat major, Op. 55, ""Eroica"": II. Marcia funebre"
WEILL The Threepenny Opera: Tango - Ballad (9.81196),WEILL,The Threepenny Opera: Tango - Ballad
"JS BACH Mass in B minor, BWV 232: Gloria in excelsis Deo (8.550585-86)",JS BACH,"Mass in B minor, BWV 232: Gloria in excelsis Deo"
"BRUCKNER Ave Maria, WAB 6 (8.570886-87)",BRUCKNER,"Ave Maria, WAB 6"
"JS BACH Cello Suite No. 2 in D minor, BWV 1008: IV. Sarabande (8.557280-81)",JS BACH,"Cello Suite No. 2 in D minor, BWV 1008: IV. Sarabande"
"JS BACH St. Matthew Passion, BWV 244: Kommt, ihr Tochter, helft mir klagen (8.550832-34)",JS BACH,"St. Matthew Passion, BWV 244: Kommt, ihr Tochter, helft mir klagen"
MENDELSSOHN Songs without Words (8.554055),MENDELSSOHN,Songs without Words
"BERLIOZ Harold in Italy, Op. 16: II. Allegretto (8.553034)",BERLIOZ,"Harold in Italy, Op. 16: II. Allegretto"
"GORECKI Symphony No. 3, Op. 36, ""Symphony of Sorrowful Songs"": II. Lento e largo (8.550822)",GORECKI,"Symphony No. 3, Op. 36, ""Symphony of Sorrowful Songs"": II. Lento e largo"
"HAYDN Die Jahreszeiten (The Seasons), Hob.XXI:3 (8.557600-01)",HAYDN,Die Jahreszeiten
PART Fratres for Eight Cellos (8.553750),PART,Fratres for Eight Cellos
"RAUTAVAARA Cantus Arcticus, Op. 61 (Concerto for Birds and Orchestra): III. Joutsenet muuttavat (Swans Migrating) (8.554147)",RAUTAVAARA,"Cantus Arcticus, Op. 61"
"RESPIGHI	Antiche danze ed arie per liuto (Ancient Airs and Dances), Suite No. 2, P. 138 (8.553546)",RESPIGHI,Antiche danze ed arie per liuto
"SHOSTAKOVICH Piano Concerto No. 2 in F Major, Op. 102: II. Andante (8.553126)",SHOSTAKOVICH,"Piano Concerto No. 2 in F Major, Op. 102: II. Andante"
"TCHAIKOVSKY Les Saisons (The Seasons), Op. 37b: VI. June (8.570787)",TCHAIKOVSKY,Les Saisons
WAGNER Parsifal: Prelude to Act 1 (8.550498),WAGNER,Parsifal: Prelude to Act 1
"PERGOLESI Stabat Mater: Fac, ut ardeat cor meum (8.557447)",PERGOLESI,"Stabat Mater: Fac, ut ardeat cor meum"
"SCHOENBERG Verklarte Nacht (Transfigured Night), Op. 4 (8.557534)",SCHOENBERG,Verklarte Nacht
ENGLUND Piano Concerto No. 1 (8.553758),ENGLUND,Piano Concerto No. 1
WILLIAMS Main Title Theme (8.555020),WILLIAMS,Main Title Theme
"SULLIVAN The Mikado: Our great Mikado, virtuous man (8.110176-77)",SULLIVAN,"The Mikado: Our great Mikado, virtuous man"
SULLIVAN The Mikado: The sun whose rays are all ablaze (8.110176-77),SULLIVAN,The Mikado: The sun whose rays are all ablaze
SULLIVAN Iolanthe: He loves! (8.110231-32),SULLIVAN,Iolanthe: He loves!
SULLIVAN Masquerade from The Merchant of Venice: Danse Grotesque (Marco Polo 8.223461),SULLIVAN,Masquerade from The Merchant of Venice: Danse Grotesque
SULLIVAN Patience: So go to him and say to him (8.110233),SULLIVAN,Patience: So go to him and say to him
SULLIVAN Patience: The soldiers of our queen (8.110233),SULLIVAN,Patience: The soldiers of our queen
SULLIVAN Ruddigore: I once was meek as a new (8.110295),SULLIVAN,Ruddigore: I once was meek as a new
SULLIVAN Ruddigore: Overture (8.110295),SULLIVAN,Ruddigore: Overture
SULLIVAN The Gondoliers: Take a pair of sparkling eyes (8.110209-10),SULLIVAN,The Gondoliers: Take a pair of sparkling eyes
"SULLIVAN The Yeomen of the Guard: I have a song to sing, O! (8.110293-94)",SULLIVAN,"The Yeomen of the Guard: I have a song to sing, O!"
SULLIVAN The Yeomen of the Guard: Overture (8.110293-94),SULLIVAN,The Yeomen of the Guard: Overture
"CHOPIN Etude No. 6 in E-flat minor, Op. 10, No. 6 (8.554528)",CHOPIN,"Etude No. 6 in E-flat minor, Op. 10, No. 6"
"MOZART Don Giovanni, K. 527: Overture (8.660080-82)",MOZART,"Don Giovanni, K. 527: Overture"
MARAIS Sonerie de Sainte Genevieve du Mont de Paris (8.550750),MARAIS,Sonerie de Sainte Genevieve du Mont de Paris
"MOZART Divertimento in F major, K. 138, ""Salzburg Symphony No. 3"": II. Andante (8.550108)",MOZART,"Divertimento in F major, K. 138, ""Salzburg Symphony No. 3"": II. Andante"
MARAIS Le Badinage (8.550750),MARAIS,Le Badinage
"PURCELL O solitude, my sweetest choice, Z. 406 (OehmsClassics OC870)",PURCELL,"O solitude, my sweetest choice, Z. 406"
"TCHAIKOVSKY Symphony No. 1 in G minor, Op. 13, ""Winter Daydreams"" (8.550517)",TCHAIKOVSKY,"Symphony No. 1 in G minor, Op. 13, ""Winter Daydreams"""
BEETHOVEN Piano Sonata No. 1 in F minor (8.550150),BEETHOVEN,Piano Sonata No. 1 in F minor
"JS BACH Herzlich tut mich verlagen, BWV 727 (Marco Polo 8.223452)",JS BACH,"Herzlich tut mich verlagen, BWV 727"
"MOZART Divertimento in F major, K. 138, ""Salzburg Symphony No. 3"" (8.550108)",MOZART,"Divertimento in F major, K. 138, ""Salzburg Symphony No. 3"""
GESUALDO Se la mia morte brami (8.573147-49),GESUALDO,Se la mia morte brami
"CHOPIN Piano Concerto No. 1 in E minor, Op. 11: II. Romance (8.554540)",CHOPIN,"Piano Concerto No. 1 in E minor, Op. 11: II. Romance"
"MOZART Piano Sonata No. 11 in A major, K. 331: III. Rondo alla turca (8.550448)",MOZART,"Piano Sonata No. 11 in A major, K. 331: III. Rondo alla turca"
"JS BACH Violin Partita No. 3 in E major, BWV 1006: I. Preludio (8.570277-78)",JS BACH,"Violin Partita No. 3 in E major, BWV 1006: I. Preludio"
"PROKOFIEV Romeo and Juliet, Op. 64: Balcony Scene (8.553184-85)",PROKOFIEV,"Romeo and Juliet, Op. 64: Balcony Scene"
"DEBUSSY Preludes, Book 2: No. 7 La terrasse des audiences du clair de lune (8.572584)",DEBUSSY,"Preludes, Book 2: No. 7 La terrasse des audiences du clair de lune"
"BRAHMS Trio for Violin, Horn and Piano in E-flat major, Op. 40: II. Scherzo (8.550441)",BRAHMS,"Trio for Violin, Horn and Piano in E-flat major, Op. 40: II. Scherzo"
"BRAHMS Trio for Violin, Horn and Piano in E-flat major, Op. 40: III. Adagio mesto (8.550441)",BRAHMS,"Trio for Violin, Horn and Piano in E-flat major, Op. 40: III. Adagio mesto"
"VIVALDI Gloria in D major, RV 589: Cum Sancto Spiritu (8.550767)",VIVALDI,"Gloria in D major, RV 589: Cum Sancto Spiritu"
"MOZART Piano Concerto No. 23 in A major, K. 488: I. Allegro (8.550204)",MOZART,"Piano Concerto No. 23 in A major, K. 488: I. Allegro"
"LISZT Les Preludes, S637/R359 (8.570736)",LISZT,"Les Preludes, S637/R359"
LEHAR Das Land des Lachelns (The Land of Smiles): Dein ist mein ganzes Herz (8.578037-38),LEHAR,Das Land des Lachelns
"JANACEK Along an Overgrown Path, Book 1, JW VIII/17: II. A Blown - Away Leaf (8.553586)",JANACEK,"Along an Overgrown Path, Book 1, JW VIII/17: II. A Blown - Away Leaf"
"JANACEK Along an Overgrown Path, Book 1, JW VIII/17: IV. The Madonna of Frydek (8.553586)",JANACEK,"Along an Overgrown Path, Book 1, JW VIII/17: IV. The Madonna of Frydek"
"JANACEK Along an Overgrown Path, Book 1, JW VIII/17: VII. Good Night! (8.553586)",JANACEK,"Along an Overgrown Path, Book 1, JW VIII/17: VII. Good Night!"
"JANACEK Along an Overgrown Path, Book 1, JW VIII/17: X. The Barn Owl Has Not Flown Away (8.553586)",JANACEK,"Along an Overgrown Path, Book 1, JW VIII/17: X. The Barn Owl Has Not Flown Away"
"JANACEK Idylla (Idyll), JW VI/3: V. Adagio - Presto - Tempo I (8.572698)",JANACEK,Idylla
"JANACEK In the Mist, JW VIII/22: IV. Presto: II. Molto adagio (8.553587)",JANACEK,"In the Mist, JW VIII/22: IV. Presto: II. Molto adagio"
"JANACEK Pohadka (Fairy Tale) for Cello and Piano, JW VII/5: III. Allegro (8.553895)",JANACEK,Pohadka
"JANACEK Sonata for Violin and Piano, JW VII/7: IV. Adagio (8.553588)",JANACEK,"Sonata for Violin and Piano, JW VII/7: IV. Adagio"
"JANACEK String Quartet No. 1, JW VII/8, ""Kreutzer Sonata"": III. Con moto (8.553895)",JANACEK,"String Quartet No. 1, JW VII/8, ""Kreutzer Sonata"": III. Con moto"
"JANACEK String Quartet No. 2, JW VII/13, ""Intimate Letters"": IV. Allegro. Andante. Adagio (8.553895)",JANACEK,"String Quartet No. 2, JW VII/13, ""Intimate Letters"": IV. Allegro. Andante. Adagio"
"JS BACH English Suite No. 2 in A minor, BWV 807: II. Allemande (8.553012)",JS BACH,"English Suite No. 2 in A minor, BWV 807: II. Allemande"
"JS BACH Fugue in C major, BWV 952 (Nimbus NI5689-90)",JS BACH,"Fugue in C major, BWV 952"
"JS BACH Fugue in C major, BWV 953 (8.553097)",JS BACH,"Fugue in C major, BWV 953"
ROSSINI Il Barbiere di Siviglia (The Barber of Seville): Il vecchiotto cerca moglie (8.660027-29),ROSSINI,Il Barbiere di Siviglia
"RACHMANINOV Piano Concerto No. 3 in D minor, Op. 30: I. Allegro ma non tanto (8.550349)",RACHMANINOV,"Piano Concerto No. 3 in D minor, Op. 30: I. Allegro ma non tanto"
"TCHAIKOVSKY Francesca da Rimini, Op. 32 (8.550782)",TCHAIKOVSKY,"Francesca da Rimini, Op. 32"
"CHOPIN Waltz No. 3 in A minor, Op. 34, No. 2 (8.554539)",CHOPIN,"Waltz No. 3 in A minor, Op. 34, No. 2"
"J STRAUSS II Schatzwalzer, Op. 418 (8.550340)",J STRAUSS II,"Schatzwalzer, Op. 418"
"MENDELSSOHN  A Midsummer Night's Dream: Wedding March, Op. 61, No. 4 (8.554433)",MENDELSSOHN,"A Midsummer Night's Dream: Wedding March, Op. 61, No. 4"
SULLIVAN The Pirates of Penzance: With cat-like tread (8.110196-97),SULLIVAN,The Pirates of Penzance: With cat-like tread
"CHOPIN Waltz No. 11 in G-flat major, Op. 70, No. 1 (8.554539)",CHOPIN,"Waltz No. 11 in G-flat major, Op. 70, No. 1"
CHARPENTIER Te Deum (8.557229),CHARPENTIER,Te Deum
"MAHLER Symphony No. 6 in A Minor, ""Tragic"" (8.550529-30)",MAHLER,"Symphony No. 6 in A Minor, ""Tragic"""
JC BACH Sinfonia in E-flat major: II. Andante con sordini (8.553085),JC BACH,Sinfonia in E-flat major: II. Andante con sordini
"MOZART Symphony No. 34 in C major, K. 338: II. Andante di molto (8.550186)",MOZART,"Symphony No. 34 in C major, K. 338: II. Andante di molto"
"SCHUBERT 3 Marches militaires, Op. 51, D. 733: No. 1 in D major (Altissimo 75442261012)",SCHUBERT,"3 Marches militaires, Op. 51, D. 733: No. 1 in D major"
"WALDTEUFEL Espana, Op. 236 (8.553956)",WALDTEUFEL,"Espana, Op. 236"
LISZT Mephisto Waltz (8.557814),LISZT,Mephisto Waltz
PUCCINI Manon Lescaut: Donna non vidi mai simile a questa! (8.660019-20),PUCCINI,Manon Lescaut: Donna non vidi mai simile a questa!
TOSELLI Serenata (8.120668),TOSELLI,Serenata
DENZA Non t'amo piu (8.110703),DENZA,Non t'amo piu
"TCHAIKOVSKY 18 Morceaux, Op. 72: No. 2. Berceuse (8.572225)",TCHAIKOVSKY,"18 Morceaux, Op. 72: No. 2. Berceuse"
"BRAHMS Academic Festival Overture, Op. 80 (8.557428)",BRAHMS,"Academic Festival Overture, Op. 80"
"BRAHMS Rhapsody No. 2 in G minor, Op. 79 (8.570290)",BRAHMS,"Rhapsody No. 2 in G minor, Op. 79"
"BADARZEWSKA-BARANOWSKA The Maidenâs Prayer, Op. 4 (8.550141)",BADARZEWSKA-BARANOWSKA,"The Maidenâs Prayer, Op. 4"
"SCHNITTKE 3 Sacred Hymns: No. 2. Gospodi, Gospodi Iisuse (Lord Jesus) (BR-Klassik 900505)",SCHNITTKE,"3 Sacred Hymns: No. 2. Gospodi, Gospodi Iisuse"
"FAURE Clair de lune, Op. 46, No. 2 (8.112060)",FAURE,"Clair de lune, Op. 46, No. 2"
"MOZART String Quintet No. 6 in E-flat major, K. 614 (8.553105)",MOZART,"String Quintet No. 6 in E-flat major, K. 614"
"DVORAK Symphony No. 4 in D minor, Op. 13 (8.550269)",DVORAK,"Symphony No. 4 in D minor, Op. 13"
DONIZETTI Lucia di Lammermoor: Spargi d'amaro pianto (8.660255-56),DONIZETTI,Lucia di Lammermoor: Spargi d'amaro pianto
"MOZART Mass No. 18 in C minor, K. 427, ""Great"" (8.554421)",MOZART,"Mass No. 18 in C minor, K. 427, ""Great"""
"VIVALDI Violin Concerto in E major, RV 271, ""L'amoroso"" (Divox CDX-79406)",VIVALDI,"Violin Concerto in E major, RV 271, ""L'amoroso"""
"JS BACH Passacaglia and Fugue in C minor, BWV 582: I. Passacaglia (8.553859)",JS BACH,"Passacaglia and Fugue in C minor, BWV 582: I. Passacaglia"
WEBER Der Freischutz: Wie nahte mir der Schlummer (Capriccio C10235-36),WEBER,Der Freischutz: Wie nahte mir der Schlummer
"VIVALDI Dixit Dominus, RV 595: Dixit Dominus: Allegro (8.557445)",VIVALDI,"Dixit Dominus, RV 595: Dixit Dominus: Allegro"
